id,name,country
738,Turckheim,FR
739,Walbach,FR
740,Wihr-au-Val—Soultzbach,FR
741,Gunsbach—Griesbach,FR
742,Ranspach,FR
743,Cernay,FR
744,Burnhaupt,FR
745,Guewenheim,FR
746,Sentheim,FR
747,Lauw,FR
748,Masevaux,FR
749,Sickert,FR
750,Niederbruck,FR
751,Kirchberg,FR
752,Oberbruck,FR
753,Sewen,FR
754,Luttenbach-près-Munster,FR
755,Vieux-Thann,FR
756,Bitschwiller,FR
757,Willer-sur-Thur,FR
758,Moosch,FR
759,St-Amarin,FR
760,Wesserling,FR
761,Fellering,FR
762,Oderen,FR
763,Kruth,FR
764,Breitenbach,FR
765,Richwiller,FR
766,Wittelsheim,FR
767,Staffelfelden,FR
768,Bollwiller,FR
769,Raedersheim,FR
770,Merxheim,FR
771,Muhlbach-sur-Munster,FR
772,Malmerspach,FR
773,Metzéral,FR
774,Sundhoffen,FR
775,Bas-Evette,FR
778,Bort-les-Orgues,FR
779,Trois-Chênes,FR
780,Chèvremont,FR
781,Petit-Croix,FR
782,Montreux-Vieux,FR
783,Blainville—Damelevières,FR
784,Héricourt,FR
785,Voujeaucourt,FR
786,Bourg-Madame,FR
787,Colombier-Fontaine,FR
789,L’Isle-sur-le-Doubs,FR
792,Clerval,FR
793,Port-sur-Saône,FR
795,Grattery,FR
796,Noidans-lès-Vesoul,FR
800,Montureux-lès-Baulay,FR
801,Ronchamp,FR
802,Champagney,FR
803,Jussey,FR
804,Masseret Ville,FR
805,Barberey Route de Méry,FR
807,Béning,FR
809,Mont-le-Vernois,FR
810,Luxeuil-les-Bains,FR
811,Basel SBB,CH
812,Loupershouse,FR
813,Walygator Parc,FR
814,Maizières-lès-Metz,FR
815,Uckange,FR
816,Knutange—Nilvange,FR
817,Hayange,FR
818,Aubusson Gare Routière,FR
819,Metzeresche,FR
820,Yutz,FR
821,Kuntzig,FR
822,Distroff,FR
823,Metzervisse,FR
824,Kédange,FR
825,Hombourg-Budange,FR
827,Bordeaux,FR
828,Bordeaux St-Jean,FR
829,Boé,FR
830,Ébersviller,FR
831,Anzeling,FR
832,Freistroff,FR
833,Remelfang,FR
834,Basse-Ham,FR
835,Koenigsmacker,FR
836,Malling,FR
837,Sierck-les-Bains,FR
838,Apach,FR
839,Homécourt,FR
840,Belfort-Ville,FR
841,Jœuf,FR
842,Moyeuvre-Grande,FR
843,Bourges,FR
844,Boves,FR
845,Rombas—Clouange,FR
846,Gandrange—Amnéville,FR
849,Woippy,FR
851,Vatimont,FR
852,Lucy,FR
853,Chenois,FR
854,Holacourt,FR
855,Arraincourt,FR
856,Racrange,FR
857,Bermering,FR
858,Marimont-lès-Bénestroff,FR
859,Peltre,FR
860,Courcelles-sur-Nied,FR
861,Sanry-sur-Nied,FR
862,Baudrecourt,FR
863,Lesse,FR
864,Brulange,FR
865,Morhange,FR
866,Ars-sur-Moselle,FR
867,Ancy-sur-Moselle,FR
868,Pagny-sur-Moselle,FR
869,Vandières,FR
870,Baroncourt,FR
871,Hatrize,FR
872,Valleroy—Moineville,FR
873,Bourges Gare Routière,FR
874,Baronville,FR
875,Vahl-les-Bénestroff,FR
876,Hargarten—Falck,FR
877,Teterchen,FR
878,Brettnach,FR
879,Bouzonville,FR
880,Hombourg-Budange Haut,FR
881,St-Avold,FR
882,Teting,FR
883,Faulquemont,FR
884,Herny,FR
887,Breil-sur-Roya,FR
888,Bressuire,FR
890,Theding,FR
891,Farébersviller,FR
892,Farschviller,FR
893,Diebling,FR
894,Hundling,FR
895,Metzing,FR
896,Ippling,FR
898,Welferding,FR
899,Rémelfing,FR
900,Sarreinsming,FR
901,Zetting,FR
902,Wittring,FR
903,Herbitzheim,FR
904,Ravezies,FR
905,Boussens,FR
906,Woelfling-lès-Sarreguemines,FR
907,Rohrbach-lès-Bitche,FR
908,Petit-Réderching,FR
909,Busigny,FR
910,Enchenberg,FR
911,Lemberg,FR
912,Bréauté—Beuzeville,FR
913,Bitche,FR
914,Bitche Camp,FR
916,Ebring,FR
917,Montmédy,FR
918,Charency-Vezin,FR
919,Audun-le-Roman,FR
920,Fontoy,FR
921,Réhon,FR
922,Cons-la-Grandville,FR
923,La Roche-sous-Montigny,FR
924,Viviers-sur-Chiers,FR
927,Gros-Rederching,FR
928,Destry,FR
929,Mundolsheim,FR
930,Busseau-sur-Creuse,FR
931,Stephansfeld,FR
932,Bueil,FR
933,Brumath,FR
934,Schwindratzheim,FR
935,Hochfelden,FR
936,Wilwisheim,FR
937,Dettwiller,FR
938,Strasbourg Roethig,FR
939,Zornhoff—Monswiller,FR
940,Graffenstaden,FR
941,Geispolsheim,FR
942,Fegersheim—Lipsheim,FR
943,Limersheim,FR
944,Bischheim,FR
945,Beuvrages,FR
946,La Wantzenau,FR
947,Kilstett,FR
948,Gambsheim,FR
949,Herrlisheim,FR
950,Drusenheim,FR
951,Bruyères,FR
952,Buzy-en-Béarn,FR
953,Beauvais,FR
954,Sessenheim,FR
955,Rountzenheim,FR
956,Roeschwoog,FR
957,Brive-la-Gaillarde,FR
958,Roppenheim,FR
960,Seltz,FR
961,Munchhausen,FR
962,Mothern,FR
963,Lauterbourg,FR
964,Hattmatt,FR
965,Dossenheim-sur-Zinsel,FR
966,Neuwiller-les-Saverne,FR
967,Uberach,FR
970,Kaltenhouse,FR
971,Volgelsheim,FR
972,Kehl Grenze,DE
973,Neubourg,FR
974,Pfaffenhoffen,FR
975,Bouxwiller,FR
977,Gundershoffen,FR
978,Reichshoffen Ville,FR
979,Niederbronn,FR
980,Philippsbourg,FR
981,Bannstein,FR
982,Eguelshardt,FR
983,Walbourg,FR
984,Hoelschloch,FR
985,Soultz-sous-Forêts,FR
986,Hoffen,FR
987,Hunspach,FR
988,Riedseltz,FR
